place,lat,lon,source,note
London,51.5074456,-0.1277653,nominatim,
Carfax,51.7519783,-1.2579335,nominatim,
Varna,43.2073873,27.9166653,nominatim,
Transylvania,46.0,25.0,override,"region center, Romania"
Amsterdam,52.3730796,4.8924534,nominatim,
Slovaks,49.6304791,25.1399331,nominatim,
England,52.5310214,-1.2649062,nominatim,
Bukovina,49.2974402,16.7732698,nominatim,
the Borgo Pass,53.5549463,-1.4814004,nominatim,
Hillingham,39.8681486,-75.6515297,nominatim,
Abbey,50.7345503,-108.7579928,nominatim,
the East Cliff,51.0990199,1.2056714,nominatim,
Turkey,39.294076,35.2316631,nominatim,
Piccadilly,51.5093856,-0.1359413,nominatim,
the Black Sea,52.0687719,4.2778376,nominatim,
Dardanelles,40.2091726,26.4413908,nominatim,
M.D.,18.4898458,-69.8033224,nominatim,
Mina,42.130056,-79.688104,nominatim,
Seward,37.1850331,-100.8928434,nominatim,
Vampire,50.7022495,4.5918613,nominatim,
East,3.9894393,14.178373,nominatim,
Magyar,47.1817585,19.5060937,nominatim,
Slovak,46.1514172,14.9383436,nominatim,
Greenland,77.6192349,-42.8125967,nominatim,
Ste,13.0368003,80.2464194,nominatim,
Renfield,52.9419608,1.1337933,nominatim,
the Green Park,51.5044559,-0.1437172,nominatim,
Madam Mina,22.5425143,88.3592002,nominatim,
Castle,51.6247029,-3.9454009,nominatim,
Veresti,47.6069649,26.4396175,nominatim,
the United States,47.8291375,-122.5970742,nominatim,
Europe,51.0,10.0,nominatim,
Attila,37.7697714,-88.7711732,nominatim,
China,35.000074,104.999927,nominatim,
France,46.603354,1.8883335,nominatim,
Germany,51.1638175,10.4478313,nominatim,
Texas,31.2638905,-98.5456116,nominatim,
the East Pier,54.2825349,-0.3870523,nominatim,
Tate Hill Pier,54.4894585,-0.6127467,nominatim,
Scotland,56.7861112,-4.1140518,nominatim,
Purfleet,-31.9433333,152.4675,nominatim,
America,39.7837304,-100.445882,nominatim,
Paddington,51.5161629,-0.1744856,nominatim,
South,18.2612839,-73.8444985,nominatim,
India,22.3511148,78.6677428,nominatim,
Bloxam,53.9214386,-130.1386338,nominatim,
Hildesheim,52.1527188,9.9518083,nominatim,
Vienna,48.2083537,16.3725042,nominatim,
West,18.7668687,-72.4387315,nominatim,
the Hotel Royale,0.3189383,32.5854411,nominatim,
Moldavia,47.2879608,28.5670941,nominatim,
east,3.9894393,14.178373,nominatim,
St. George’s Day,52.0459799,-0.7467318,nominatim,
Borgo Prund,47.2201539,24.7406598,nominatim,
Tokay,33.8736776,-106.7391847,nominatim,
china,35.000074,104.999927,nominatim,
Iceland,64.9841821,-18.1059013,nominatim,
Asia,51.2086975,89.2343748,nominatim,
Africa,11.5024338,17.7578122,nominatim,
Scythia,37.8219963,-86.9052698,nominatim,
Bulgar,15.4454424,26.3768271,nominatim,
Honfoglalas,46.1623381,18.3532511,nominatim,
