bigram,count
van helsing,324
could see,103
madam mina,87
mrs harker,69
lord godalming,66
friend john,60
seward diary,47
last night,47
harker journal,40
poor dear,36
poor lucy,33
miss lucy,30
quincey morris,29
said van,28
jonathan harker,27
dear madam,26
could hear,24
helsing said,23
came back,22
good bye,20
old man,20
mrs westenra,20
mina harker,17
went room,17
thank god,17
shall try,16
took hand,16
diary september,16
mina murray,15
lucy westenra,15
shook head,15
said nothing,15
dear lucy,15
held hand,14
would like,14
shall come,14
poor fellow,14
said solemnly,14
could tell,13
know know,13
howling wolves,13
could find,13
dining room,13
went back,13
come back,13
came away,13
journal chapter,12
count dracula,12
round neck,12
take care,12
