place,chapter,count,lat,lon,source,note
August._--No,8,1,,,,
Cszeks,1,1,,,,
D.Ph,9,1,,,,
Fenchurch Street Lord Godalming,22,1,,,,
Jamrach,11,1,,,,
Klausenburgh,1,1,,,,
Klausenburgh,8,1,,,,
L.K.Q.CP.I,12,1,,,,
Lake Hermanstadt,18,1,,,,
M.D,9,1,,,,
M.D,12,2,,,,
M.D,15,1,,,,
M.D,27,1,,,,
M.R.C.S,12,1,,,,
R.A,7,1,,,,
R.I,7,1,,,,
S.P.C.A,7,1,,,,
Skinsky,26,8,,,,
Straits of Dover,7,1,,,,
Szgany,4,9,,,,
Szgany,26,1,,,,
Szgany,27,3,,,,
Walworth and Mile End,22,1,,,,
Zwitzerland,22,1,,,,
leiterwagon,1,1,,,,
the Angel of Death,6,1,,,,
the Eversfield Asylum,21,1,,,,
the Golden Krone Hotel,1,1,,,,
the Gulf of Finland,6,1,,,,
the Park a-’idin,11,1,,,,
the Sacred Wafer,22,1,,,,
the grey sea,6,1,,,,
