place,lat,lon,raw
London,51.5074456,-0.1277653,"Greater London, England, United Kingdom"
Carfax,51.7519783,-1.2579335,"Carfax, St Thomas', City Centre, Oxford, Oxfordshire, England, OX1 3HY, United Kingdom"
Varna,43.2073873,27.9166653,"Варна, Одесос, Варна, България"
Transylvania,35.1982216,-82.7724889,"Transylvania County, North Carolina, United States"
Amsterdam,52.3730796,4.8924534,"Amsterdam, Noord-Holland, Nederland"
Slovaks,49.6304791,25.1399331,"Пам'ятник полеглим чехам та словакам у Зборівській битві, Чехословацька вулиця, Калинівка, Зборівська міська громада, Тернопільський район, Тернопільська область, 47204, Україна"
England,52.5310214,-1.2649062,"England, United Kingdom"
Bukovina,49.2974402,16.7732698,"Bukovina, okres Blansko, Jihomoravský kraj, Jihovýchod, Česko"
the Borgo Pass,53.5549463,-1.4814004,"The Picture House, Dow Passage, Oakwell, Kingstone, Barnsley, South Yorkshire, England, S70 2EX, United Kingdom"
Hillingham,39.8681486,-75.6515297,"Hillingham Circle, Hamorton, Kennett Township, Chester County, Pennsylvania, 19317, United States"
Abbey,50.7345503,-108.7579928,"Abbey, Saskatchewan, S0N 0A0, Canada"
the East Cliff,51.0990199,1.2056714,"The Wing, New Dover Road, East Cliff, Capel-le-Ferne, Dover, Kent, England, CT18 7JJ, United Kingdom"
Turkey,39.294076,35.2316631,Türkiye
Piccadilly,51.5093856,-0.1359413,"Piccadilly, St. James's, Westminster, Mayfair, City of Westminster, Greater London, England, W1J 0LA, United Kingdom"
the Black Sea,52.0687719,4.2778376,"Black Sea, Loosduinsekade, Oostbroek-Noord, Rustenburg en Oostbroek, Escamp, Den Haag, Zuid-Holland, Nederland, 2571 CE, Nederland"
Dardanelles,40.2091726,26.4413908,"Çanakkale Boğazı, Çanakkale, Marmara Bölgesi, Türkiye"
M.D,18.4898458,-69.8033224,"Manzana D, Ciudad Real Oriental, Juan López, Santo Domingo Este, Santo Domingo, 03006, República Dominicana"
Mina,42.130056,-79.688104,"Town of Mina, Chautauqua County, New York, 14736, United States"
Seward,37.1850331,-100.8928434,"Seward County, Kansas, United States"
Vampire,50.7022495,4.5918613,"Vampire, Boulevard de l'Europe, Limal, Wavre, Nivelles, Brabant wallon, Wallonie, 1300, België / Belgique / Belgien"
Magyar,47.1817585,19.5060937,Magyarország
Slovak,46.1514172,14.9383436,"Slovak, Zagorje ob Savi, 1412, Slovenija"
Greenland,77.6192349,-42.8125967,Kalaallit Nunaat
Ste,13.0368003,80.2464194,"தேனாம்பேட்டை, Teynampet - Saidapet steel flyover, CMWSSB Division 122, Ward 122, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600035, India"
Renfield,52.9419608,1.1337933,"Renfield, The Street, Weybourne, North Norfolk, Norfolk, England, NR25 7EH, United Kingdom"
the Green Park,51.5044559,-0.1437172,"The Green Park, Belgravia, City of Westminster, Greater London, England, United Kingdom"
Madam Mina,22.5425143,88.3592002,"Madam Curie Place, Ripon Street, Kolkata, Kolkata Metropolitan Area, Kolkata, West Bengal, 700017, India"
Castle,51.6247029,-3.9454009,"Castle, Swansea, Cymru / Wales, United Kingdom"
