place,lat,lon,chapter,count
London,51.5074456,-0.1277653,0,64
Carfax,51.7519783,-1.2579335,0,24
Varna,43.2073873,27.9166653,0,19
Transylvania,46.0,25.0,0,14
Amsterdam,52.3730796,4.8924534,0,13
England,52.5310214,-1.2649062,0,11
Slovaks,49.6304791,25.1399331,0,11
Bukovina,49.2974402,16.7732698,0,8
Hillingham,39.8681486,-75.6515297,0,8
the Borgo Pass,53.5549463,-1.4814004,0,8
Abbey,50.7345503,-108.7579928,0,7
the East Cliff,51.0990199,1.2056714,0,7
Piccadilly,51.5093856,-0.1359413,0,6
Turkey,39.294076,35.2316631,0,6
the Black Sea,52.0687719,4.2778376,0,6
Dardanelles,40.2091726,26.4413908,0,5
Mina,42.130056,-79.688104,0,4
Seward,37.1850331,-100.8928434,0,4
Vampire,50.7022495,4.5918613,0,4
Castle,51.6247029,-3.9454009,0,3
Greenland,77.6192349,-42.8125967,0,3
Madam Mina,22.5425143,88.3592002,0,3
Magyar,47.1817585,19.5060937,0,3
Renfield,52.9419608,1.1337933,0,3
Slovak,46.1514172,14.9383436,0,3
Ste,13.0368003,80.2464194,0,3
Veresti,47.6069649,26.4396175,0,3
the Green Park,51.5044559,-0.1437172,0,3
America,39.7837304,-100.445882,0,2
Attila,37.7697714,-88.7711732,0,2
Bloxam,53.9214386,-130.1386338,0,2
China,35.000074,104.999927,0,2
Europe,51.0,10.0,0,2
France,46.603354,1.8883335,0,2
Germany,51.1638175,10.4478313,0,2
Hildesheim,52.1527188,9.9518083,0,2
India,22.3511148,78.6677428,0,2
Paddington,51.5161629,-0.1744856,0,2
Purfleet,-31.9433333,152.4675,0,2
Scotland,56.7861112,-4.1140518,0,2
Tate Hill Pier,54.4894585,-0.6127467,0,2
Texas,31.2638905,-98.5456116,0,2
the East Pier,54.2825349,-0.3870523,0,2
the United States,47.8291375,-122.5970742,0,2
the United States,47.8291375,-122.5970742,0,2
Africa,11.5024338,17.7578122,0,1
Antwerp,51.2211097,4.3997081,0,1
Archipelago,38.0622276,25.7205887,0,1
Arlington Street,51.5071834,-0.1410021,0,1
Asia,51.2086975,89.2343748,0,1
Bartel Street,32.7904893,-117.1288116,0,1
Berkeley,37.8708393,-122.272863,0,1
Biscay,43.238482,-2.8516316,0,1
Bistritz,47.1333,24.4833,0,1
Black-Sea,43.872824,33.9938077,0,1
Borgo,46.0533463,11.4566004,0,1
Borgo Prund,47.2201539,24.7406598,0,1
Breakfast,55.7579096,37.5973729,0,1
Bucharest,44.4361414,26.102684,0,1
Bulgar,15.4454424,26.3768271,0,1
Chatham Street,51.4923888,-0.0899107,0,1
Chicksand Street,51.5183855,-0.0701749,0,1
Consul,52.4813269,-1.9054517,0,1
Cross Angel Street,51.5390659,-0.0996269,0,1
Dame Nature,50.8368552,4.3620661,0,1
Death,36.4228722,-116.913718,0,1
Desdemona,32.270414,-98.5503301,0,1
Dover,51.1251275,1.3134228,0,1
East Cliff,51.3361267,1.4285146,0,1
East wind,45.5123192,-122.4024335,0,1
Eastern Europe,-33.8234977,25.6291504,0,1
Fenchurch Street,51.5116463,-0.0836295,0,1
Floridas,57.1879768,27.0605473,0,1
Frenchmen,51.1717799,-58.4426909,0,1
Fundu,3.055329,31.442704,0,1
Galatz,45.4338215,28.0549395,0,1
Gibraltar,36.1285933,-5.3474761,0,1
Great Northern Railway,53.8578955,-6.4955776,0,1
Greece,38.9953683,21.9877132,0,1
Hamburg,53.550341,10.000654,0,1
Hapgood,43.2263507,-72.9368997,0,1
Holland,52.2434979,5.6343227,0,1
Holmwood,51.1811282,-0.320874,0,1
Honfoglalas,46.1623381,18.3532511,0,1
Hungary,47.1817585,19.5060937,0,1
Hyde Park Corner,51.5027264,-0.1543249,0,1
Iceland,64.9841821,-18.1059013,0,1
Jamaica Lane,32.7376363,-97.2747641,0,1
Jerusalem,31.7788472,35.2257856,0,1
Korea,36.638392,127.6961188,0,1
Kúkri,23.5117185,76.3661172,0,1
Later._--He,52.3845044,4.5422888,0,1
Leeds,53.7974185,-1.5437941,0,1
Mackenzie,38.5809508,-90.3164013,0,1
Malvolio,-34.1054305,150.7892098,0,1
Marquesas,-9.7793255,-139.0067835,0,1
Moldavia,47.2879608,28.5670941,0,1
Morpheus,59.3243283,18.0703653,0,1
Newcastle,54.9738474,-1.6131572,0,1
North Foreland,51.3781622,1.4487445,0,1
Norway,61.1529386,8.7876653,0,1
Nuremberg,49.453872,11.077298,0,1
Ophelia,37.9101284,-76.2835554,0,1
Paris,48.8588897,2.320041,0,1
Port of London,51.5093935,0.0350079,0,1
Rapids,43.0957985,-78.6545955,0,1
Rome,41.8933203,12.4829321,0,1
Sackville Street,51.5088497,-0.1376547,0,1
Scythia,37.8219963,-86.9052698,0,1
St. George’s Day,52.0459799,-0.7467318,0,1
St. Peter,48.01786,8.0358335,0,1
Straightway,41.6452779,-70.3117833,0,1
Straits,34.729051,-76.5710368,0,1
Superintendent,33.9739182,-94.2878786,0,1
Titicaca,-15.7334907,-69.9357769,0,1
Tokay,33.8736776,-106.7391847,0,1
Underground,43.2258226,5.3686422,0,1
Van Helsing,51.6224203,6.9756612,0,1
Vienna,48.2083537,16.3725042,0,1
Wilhelmina,53.2428079,6.5685752,0,1
York,53.9656579,-1.0743052,0,1
Zoo,52.3855297,9.7729005,0,1
ark,35.2048883,-92.4479108,0,1
china,35.000074,104.999927,0,1
coma,48.2491446,19.887084,0,1
n’t,37.9456724,23.7139908,0,1
the Bay of,7.4929263,-58.7794688,0,1
the Berkeley Hotel,53.5907249,-0.6846355,0,1
the Great Eastern Hotel,22.5684154,88.3495141,0,1
the Great River,-34.0425,22.2313889,0,1
the Hotel Royale,0.3189383,32.5854411,0,1
the North Hospital,40.8803581,-73.8813965,0,1
the North Sea,55.7355049,9.1283737,0,1
the Shooter’s Hill,51.4861237,-1.09021,0,1
the West Cliff,50.7210023,-1.8786142,0,1
the West Lighthouse,52.0672434,4.3246748,0,1
the West Pier,54.282977,-0.391772,0,1
the hall:--,39.7701985,-86.1529514,0,1
wasn’t,41.3106743,69.3268267,0,1
Bukovina,49.2974402,16.7732698,1,6
London,51.5074456,-0.1277653,1,3
Transylvania,46.0,25.0,1,3
Slovaks,49.6304791,25.1399331,1,2
the Borgo Pass,53.5549463,-1.4814004,1,2
Attila,37.7697714,-88.7711732,1,1
Borgo Prund,47.2201539,24.7406598,1,1
China,35.000074,104.999927,1,1
Europe,51.0,10.0,1,1
France,46.603354,1.8883335,1,1
Germany,51.1638175,10.4478313,1,1
Moldavia,47.2879608,28.5670941,1,1
St. George’s Day,52.0459799,-0.7467318,1,1
Vienna,48.2083537,16.3725042,1,1
the Hotel Royale,0.3189383,32.5854411,1,1
London,51.5074456,-0.1277653,2,8
England,52.5310214,-1.2649062,2,5
Transylvania,46.0,25.0,2,2
Carfax,51.7519783,-1.2579335,2,1
Tokay,33.8736776,-106.7391847,2,1
china,35.000074,104.999927,2,1
London,51.5074456,-0.1277653,3,5
