chapter,marker,word_count,vader_compound,sentiment_per_1k_words
0,PREFACE,719,0.8793,1.2229485396383866
1,CHAPTER 01,5688,0.9954,0.175
2,CHAPTER 02,5475,0.9999,0.18263013698630137
3,CHAPTER 03,5704,0.9998,0.17528050490883593
4,CHAPTER 04,5834,-0.9989,-0.17122043195063422
5,CHAPTER 05,3554,1.0,0.28137310073157007
6,CHAPTER 06,5658,0.9991,0.17658183103570166
7,CHAPTER 07,5567,-0.9998,-0.1795940362852524
8,CHAPTER 08,6265,0.9998,0.15958499600957704
9,CHAPTER 09,5904,0.9999,0.169359756097561
10,CHAPTER 10,5929,0.9998,0.16862877382357902
11,CHAPTER 11,5126,0.9991,0.1949083105735466
12,CHAPTER 12,7274,-0.9682,-0.13310420676381632
13,CHAPTER 13,6567,0.9921,0.15107354956601188
14,CHAPTER 14,6405,0.9999,0.15611241217798594
15,CHAPTER 15,5801,-0.9971,-0.17188415790380968
16,CHAPTER 16,4557,0.9972,0.21882817643186303
17,CHAPTER 17,5560,0.9999,0.1798381294964029
18,CHAPTER 18,6907,0.9999,0.14476617923845375
19,CHAPTER 19,5670,0.968,0.1707231040564374
20,CHAPTER 20,5881,0.9995,0.16995408944057133
21,CHAPTER 21,6177,-0.9994,-0.16179375101181803
22,CHAPTER 22,5450,0.9943,0.18244036697247706
23,CHAPTER 23,5659,0.9966,0.17610885315426755
24,CHAPTER 24,6279,0.9999,0.1592451027233636
25,CHAPTER 25,6219,0.9998,0.16076539636597523
26,CHAPTER 26,7093,0.9991,0.14085718313830536
27,CHAPTER 27,7929,0.9758,0.12306722159162567
